member,model,split,imbalance_strategy,threshold,pr_auc,roc_auc,mcc,recall_at_90p,f1,precision,recall,fpr,accuracy,tp,fp,fn,tn
Shehab,Random Forest Tuned,validation,balanced,0.2797089635785604,0.8537969073201207,0.9439961175450368,0.8731234381687989,0.8309859154929577,0.8702290076335878,0.95,0.8028169014084507,7.060817171907362e-05,0.9996005545243074,57,3,14,42485
Shehab,Random Forest Tuned,validation,smote,0.41541442451603944,0.8388021755082468,0.9649733744208803,0.8670119719527919,0.8169014084507042,0.8656716417910447,0.9206349206349206,0.8169014084507042,0.00011768028619845603,0.9995770577316196,58,5,13,42483
Shehab,Random Forest Tuned,validation,none,0.4389654616172959,0.8227534115861513,0.9678020107085745,0.8801099397583618,0.8028169014084507,0.875,0.9824561403508771,0.7887323943661971,2.3536057239691207e-05,0.9996240513169953,56,1,15,42487
Shehab,Random Forest Baseline,validation,none,0.44666666666666666,0.8199450734623037,0.9268438014644068,0.8801099397583618,0.8028169014084507,0.875,0.9824561403508771,0.7887323943661971,2.3536057239691207e-05,0.9996240513169953,56,1,15,42487
Shehab,Logistic Regression L2 C=1.0,validation,balanced,0.99999966773417,0.7204293011527843,0.9729550812690112,0.8354843470979036,0.7746478873239436,0.8333333333333334,0.9016393442622951,0.7746478873239436,0.00014121634343814725,0.9994830705608685,55,6,16,42482
Shehab,Logistic Regression L2 C=1.0,validation,smote,0.9999998613716464,0.7140723434203101,0.9734718800469926,0.8424336344272063,0.7746478873239436,0.8396946564885496,0.9166666666666666,0.7746478873239436,0.00011768028619845603,0.9995065673535563,55,5,16,42483
Shehab,Logistic Regression Baseline,validation,none,0.059510686885274215,0.7031540047848808,0.9711010366472986,0.7885073782506626,0.11267605633802817,0.7883211678832117,0.8181818181818182,0.7605633802816901,0.0002824326868762945,0.9993185930120538,54,12,17,42476
Shehab,Logistic Regression L2 C=1.0,validation,none,0.059510686885274215,0.7031540047848808,0.9711010366472986,0.7885073782506626,0.11267605633802817,0.7883211678832117,0.8181818181818182,0.7605633802816901,0.0002824326868762945,0.9993185930120538,54,12,17,42476
Shehab,Random Forest Tuned,test,balanced,0.2797089635785604,0.7991435278517881,0.9258592649855072,0.8177710237801764,0.7746478873239436,0.8175182481751825,0.8484848484848485,0.7887323943661971,0.00023536057239691206,0.9994125801828051,56,10,15,42478
