member,model,split,imbalance_strategy,threshold,pr_auc,roc_auc,mcc,recall_at_90p,f1,precision,recall,fpr,accuracy,tp,fp,fn,tn,__source_file
Enisa,KNN (k=21),,,0.7619,0.8005,0.932,,,,1.0,0.59,,,,,,,results_enisa.csv
Enisa,LogReg L1 (C=0.5),,,0.5,0.7026,0.9557,,,,0.82,0.66,,,,,,,results_enisa.csv
Shom,XGBoost (baseline),val,none,0.986670196056366,0.7329344582120961,0.8818705397514063,0.8234070167243088,0.7183098591549296,0.816,0.9444444444444444,0.7183098591549296,7.060817171907362e-05,0.9994595737681806,51.0,3.0,20.0,42485.0,results_shom.csv
Shom,XGBoost (baseline),val,scale_pos_weight,0.6336211562156677,0.8255871063872818,0.9731292812419612,0.8479225910825244,0.7605633802816901,0.8412698412698413,0.9636363636363636,0.7464788732394366,4.7072114479382414e-05,0.999530064146244,53.0,2.0,18.0,42486.0,results_shom.csv
Shom,XGBoost (baseline),val,smote,0.728020429611206,0.8060723929474339,0.9691004717819248,0.8561838741739839,0.7605633802816901,0.8503937007874016,0.9642857142857144,0.7605633802816901,4.7072114479382414e-05,0.999553560938932,54.0,2.0,17.0,42486.0,results_shom.csv
Shom,XGBoost (tuned),test,scale_pos_weight,0.8361498117446899,0.820261498134421,0.9813420392435578,0.8486239767655652,0.7605633802816901,0.84375,0.9473684210526316,0.7605633802816901,7.060817171907362e-05,0.999530064146244,54.0,3.0,17.0,42485.0,results_shom.csv
Shom,LogReg L2 C=0.1 (baseline),val,none,0.0747128348028683,0.7005379113615124,0.9648732633041708,0.782585854222967,0.1126760563380281,0.782608695652174,0.8059701492537313,0.7605633802816901,0.0003059687441159,0.999295096219366,54.0,13.0,17.0,42475.0,results_shom.csv
Shom,LogReg L2 C=0.1 (tuned),test,class_weight_balanced,0.9999991474415308,0.681524979509577,0.9728015996563072,0.8031392010154195,0.0,0.8029197080291971,0.8333333333333334,0.7746478873239436,0.0002588966296366,0.9993655865974296,55.0,11.0,16.0,42477.0,results_shom.csv
