member,model,pr_auc,roc_auc,recall,precision,threshold
Enisa,KNN (k=21),0.8005,0.932,0.59,1.0,0.7619
Enisa,LogReg L1 (C=0.5),0.7026,0.9557,0.66,0.82,0.5
