member,model,split,imbalance_strategy,threshold,pr_auc,roc_auc,mcc,recall_at_90p,f1,precision,recall,fpr,accuracy,tp,fp,fn,tn
Shom,XGBoost (baseline),val,none,0.986670196056366,0.7329344582120961,0.8818705397514063,0.8234070167243088,0.7183098591549296,0.816,0.9444444444444444,0.7183098591549296,7.060817171907362e-05,0.9994595737681806,51,3,20,42485
Shom,XGBoost (baseline),val,scale_pos_weight,0.6336211562156677,0.8255871063872818,0.9731292812419613,0.8479225910825244,0.7605633802816901,0.8412698412698413,0.9636363636363636,0.7464788732394366,4.7072114479382414e-05,0.999530064146244,53,2,18,42486
Shom,XGBoost (baseline),val,smote,0.728020429611206,0.8060723929474339,0.9691004717819249,0.8561838741739839,0.7605633802816901,0.8503937007874016,0.9642857142857143,0.7605633802816901,4.7072114479382414e-05,0.9995535609389319,54,2,17,42486
Shom,XGBoost (tuned),test,scale_pos_weight,0.8361498117446899,0.820261498134421,0.9813420392435578,0.8486239767655652,0.7605633802816901,0.84375,0.9473684210526315,0.7605633802816901,7.060817171907362e-05,0.999530064146244,54,3,17,42485
Shom,LogReg L2 C=0.1 (baseline),val,none,0.07471283480286832,0.7005379113615124,0.9648732633041708,0.782585854222967,0.11267605633802817,0.782608695652174,0.8059701492537313,0.7605633802816901,0.0003059687441159857,0.9992950962193661,54,13,17,42475
Shom,LogReg L2 C=0.1 (tuned),test,class_weight_balanced,0.9999991474415307,0.681524979509577,0.9728015996563073,0.8031392010154195,0.0,0.8029197080291971,0.8333333333333334,0.7746478873239436,0.00025889662963660327,0.9993655865974295,55,11,16,42477
